"","Survivor","Non-Survivor","p","test"
"Quinolones (%)","    6 (  5.9) ","    2 (  4.4) "," 1.000",""
"Other Antiobiotics (%)","    8 (  7.8) ","    2 (  4.4) "," 0.690",""
"Clindamycin (%)","    2 (  2.0) ","    1 (  2.2) "," 1.000",""
"Aminoglycosides (%)","   11 ( 10.8) ","    5 ( 11.1) "," 1.000",""
"Doxycycline (%)","    5 (  4.9) ","    0 (  0.0) "," 0.309",""
"Trimethoprim-Sulfamethoxazole (%)","   11 ( 10.8) ","    3 (  6.7) "," 0.632",""
"Rifaximin (%)","    5 (  4.9) ","    7 ( 15.6) "," 0.065",""
"Diet (nothing by mouth) (%)","   27 ( 26.5) ","   20 ( 44.4) "," 0.050",""
"SOFA from admission (median [IQR])"," 1.00 [0.00, 3.00]"," 0.00 [-2.00, 2.00]"," 0.033","nonnorm"
"SOFA from Stool Sample (median [IQR])"," 1.00 [0.00, 2.00]"," 0.00 [-2.00, 2.00]"," 0.016","nonnorm"
